id,file,source_keif_v2,src_w,src_h,out_w,out_h,crop,stamp,corner,corner_pct_of_width,webp_q,psnr_db,kb
77,keif-aldiafa-event-najeeb-auto-jimny-ksa-club-qahwaji-dates.webp,events/expo-jimny-ksa-club-saudi-hosts-gift-presentation.webp,576,1280,576,1024,0.45→0.56,corner,tl,10.8,90,42.2,80
78,keif-aldiafa-event-najeeb-auto-suzuki-showroom-qahwaji-dates-palm-counter-3.webp,events/formal-reception-hospitality-staff-york-arabic-coffee-ceremony.webp,960,1280,960,1280,,corner,br,9.4,79,42.3,84
79,keif-aldiafa-event-nayifat-finance-qahwaji-exhibition.webp,events/indoor-event-saudi-hosts-bisht-qahwa-service-traditional.webp,963,1280,963,1280,,corner,br,9.4,90,42.3,176
80,keif-aldiafa-event-new-balance-kiehls-store-interactive-photo-mirror.webp,services/artistic/photo-booth/photo-booth-2.webp,900,1600,900,1600,,corner,bl,10.9,81,42.1,121
81,keif-aldiafa-event-omoda-c5-car-launch-mirror-photo-booth.webp,services/artistic/photo-booth/photo-booth-6.webp,960,1280,960,1280,,corner,tr,9.4,89,42.5,216
82,keif-aldiafa-event-osus-alinsha-contracting-qahwaji-exhibition.webp,events/jeddah-event-marble-hall-osus-alinsha-vip-reception.webp,960,1280,960,1280,,corner,br,9.4,88,42.3,131
83,keif-aldiafa-event-rawahel-almashaer-pilgrims-qahwaji-exhibition.webp,events/exhibition-hospitality-rawahil-al-mashaer-arabic-coffee-ceremony.webp,720,1280,720,1280,,corner,tl,10.8,80,42.6,81
84,keif-aldiafa-event-safwat-alshaaer-pilgrims-services-qahwaji-hajj-expo.webp,events/conference-catering-hospitality-staff-medical-college-exhibition.webp,720,1280,720,1280,,corner,br,10.8,90,42.0,144
85,keif-aldiafa-event-shs-saja-hospitality-solutions-exhibition-qahwaji.webp,events/saudi-event-luxury-catering-hospitality-staff-saja-exhibition.webp,720,1280,720,1280,,corner,br,10.8,92,42.3,160
86,keif-aldiafa-event-suzuki-najeeb-auto-showroom-qahwaji-balloon-arch-1.webp,events/saudi-event-vip-reception-suzuki-exhibition-arabic-coffee.webp,960,1280,960,1280,,corner,tl,9.4,80,42.3,76
87,keif-aldiafa-event-suzuki-najeeb-auto-showroom-qahwaji-red-thobe-dates-palm-2.webp,events/conference-catering-saudi-electricity-company-dates-tray-luxury.webp,720,1280,720,1280,,corner,br,10.8,80,42.3,88
88,keif-aldiafa-event-takween-alwatan-support-services-qahwaji-exhibition.webp,events/ksa-event-corporate-event-takween-al-watan-ceremonial-coffee.webp,720,1280,720,1280,,corner,tr,10.8,89,42.3,119
89,keif-aldiafa-event-tawkeel-umrah-qahwaji-dates-sweets-exhibition-1.webp,events/luxury-catering-arabic-coffee-ceremony-gala-dinner-indoor.webp,720,1280,720,1280,,corner,tl,10.8,89,42.3,151
90,keif-aldiafa-event-tawkeel-umrah-qahwaji-pouring-coffee-2.webp,events/ksa-event-qahwa-service-corporate-event-tawkeel.webp,720,1280,720,1280,,corner,bl,10.8,80,42.0,111
91,keif-aldiafa-event-the-private-aviation-company-booth-qahwaji-1.webp,events/jeddah-event-formal-reception-private-aviation-qahwa-service.webp,720,1280,720,1280,,corner,br,10.8,89,42.1,98
92,keif-aldiafa-event-the-private-aviation-company-booth-qahwaji-2.webp,events/saudi-event-vip-reception-aviation-booth-arabic-coffee-ceremony.webp,720,1280,720,1280,,corner,br,10.8,90,42.1,155
93,keif-aldiafa-event-york-hvac-company-lobby-qahwaji-dates-sweets-2.webp,events/corporate-event-vip-suzuki-showroom-arabic-coffee-ceremony.webp,591,1280,591,1050,0.46→0.56,corner,br,10.8,93,42.2,139
94,keif-aldiafa-event-york-hvac-showroom-qahwaji-dates-coffee.webp,events/indoor-event-exhibition-york-booth-qahwa-service.webp,960,1280,960,1280,,corner,tl,9.4,92,42.3,230
95,keif-aldiafa-event-mavera-hall-jeddah-incense-mabkhara-server-1.webp,services/male/hosts/hizam/hizam-1.webp,864,1184,864,1184,,corner,br,9.5,80,42.2,72
96,keif-aldiafa-event-mavera-hall-jeddah-incense-mabkhara-server-2.webp,weddings/saudi-wedding-vip-wedding-hall-host-dallah-flag.webp,960,1280,960,1280,,corner,br,9.4,89,42.3,125
97,keif-aldiafa-golden-backlit-outdoor-coffee-bar-night-dallahs-incense.webp,services/artistic/counter/counter-1.webp,1200,1600,900,1200,,corner,tr,9.4,82,36.6,215
98,keif-aldiafa-golden-hospitality-counter-saudi-emblem-server-drinks-station.webp,services/artistic/counter/counter-2.webp,4000,1756,1200,675,2.28→1.78,corner,br,6.1,94,40.1,203
99,keif-aldiafa-luxury-majlis-gold-columns-buffet-guests-panoramic.webp,hero/hero-desktop.webp,3168,1344,1920,815,,none (brand already in image),,,90,42.2,185
100,keif-aldiafa-mubashirin-lined-along-wedding-hall-aisle-golden-dallahs.webp,weddings/arab-wedding-men-section-wedding-decoration-qahwa-station.webp,960,1280,960,1280,,corner,bl,9.4,80,42.2,142
101,keif-aldiafa-qahwaji-black-daglah-behind-coffee-water-sweets-table.webp,services/artistic/mobile-table/table-3.webp,720,1280,720,1280,,corner,tr,10.8,80,43.4,79
102,keif-aldiafa-qahwaji-black-daglah-carrying-tray-dallah-cups-hotel-lobby.webp,services/male/hosts/dagla-janbiya/dagla-janbiya-1.webp,720,1280,720,1280,,corner,br,10.8,81,42.3,104
103,keif-aldiafa-qahwaji-lavender-themed-hospitality-corner-camel-cutout.webp,events/majlis-qahwa-service-saudi-event-camel-decor.webp,1284,2199,934,1600,,corner,tl,10.7,88,42.0,137
104,keif-aldiafa-qahwaji-red-shemagh-saudi-flag-national-pavilion.webp,events/ksa-event-qahwa-service-hospitality-staff-arabic-coffee-ceremony.webp,1200,1600,1200,1600,,corner,br,9.4,87,42.0,168
105,keif-aldiafa-qahwajiin-incense-and-dallah-majlis-hall-guests-seated.webp,events/saudi-event-vip-reception-luxury-catering-majlis-traditional-attire.webp,1280,960,1280,960,,corner,tl,7.0,81,42.2,139
106,keif-aldiafa-qahwajiin-incense-welcome-luxury-hotel-lobby-chandelier.webp,hero/hero-mobile.webp,1536,2784,900,1600,0.55→0.56,none (brand already in image),,,88,42.1,138
107,keif-aldiafa-server-black-suit-gold-tray-six-glasses-red-tea.webp,hot-drinks/red-tea.webp,1200,1039,1200,1039,,corner,tl,7.6,87,42.1,179
108,keif-aldiafa-server-gold-tray-four-turkish-coffee-cups-qr-card-roses.webp,hot-drinks/turkish-coffee.webp,1200,1600,1200,1600,,corner,tl,9.4,85,42.1,168
109,keif-aldiafa-server-gold-tray-green-tea-glasses-qr-card-white-roses.webp,hot-drinks/green-tea.webp,1200,1139,1200,1139,,corner,tr,7.9,91,42.0,217
110,keif-aldiafa-server-white-jacket-gold-tray-pineapple-ginger-juice.webp,hot-drinks/ginger-pineapple.webp,1200,1600,1200,1600,,corner,bl,9.4,86,42.5,173
111,keif-aldiafa-team-catering-staff-uniform-apron-badge.webp,services/male/safarjia/safarjia-6.webp,777,672,777,672,,corner,bl,7.6,77,42.0,33
112,keif-aldiafa-team-female-hospitality-staff-rose-wall-promo.webp,services/female-services/female-7.webp,768,1091,768,1091,,none (brand already in image),,,84,42.4,88
113,keif-aldiafa-team-female-server-serving-tray-of-tea.webp,services/female-services/female-3.webp,1014,1382,1014,1382,,corner,tl,9.6,84,42.0,94
114,keif-aldiafa-team-female-staff-lineup-floral-backdrop.webp,services/female-services/female-6.webp,768,1112,768,1112,,corner,bl,9.8,89,42.2,83
115,keif-aldiafa-team-five-hostesses-uniform-white-shirt-gloves-rose-wall.webp,services/female/hostesses/hostess-1.webp,1024,1024,1024,1024,,corner,br,8.1,91,42.1,209
116,keif-aldiafa-team-five-qahwajiin-black-daglah-golden-dallah-wedding-hall.webp,weddings/luxury-wedding-hall-male-hosts-dallah-gift-tray.webp,720,1280,720,1280,,corner,br,10.8,90,40.9,199
117,keif-aldiafa-team-four-male-staff-traditional-dress-standing-indoor.webp,weddings/saudi-wedding-traditional-uniform-male-hosts-white-thobe.webp,960,1280,960,1280,,corner,tr,9.4,80,42.3,82
118,keif-aldiafa-team-four-masked-servers-group-photo.webp,services/safarjia/safarji-3.webp,720,1041,720,1041,,corner,bl,9.7,83,42.1,46
119,keif-aldiafa-team-four-servers-in-white-tulle-dresses-holding-trays.webp,services/female-services/female-8.webp,768,1060,768,1060,,corner,tr,9.5,84,42.2,51
120,keif-aldiafa-team-fourteen-qahwajiin-black-daglah-lineup-wedding-hall-2.webp,weddings/riyadh-wedding-vip-wedding-hall-male-host.webp,1280,960,1280,960,,corner,tl,7.0,88,42.6,188
121,keif-aldiafa-team-fourteen-qahwajiin-black-daglah-lineup-wedding-hall-jeddah-1.webp,weddings/jeddah-wedding-men-section-traditional-uniform-luxury-wedding.webp,1280,960,1280,960,,corner,br,7.0,88,42.0,179
122,keif-aldiafa-team-golden-tray-karak-chai-tea.webp,hot-drinks/karak-tea.webp,807,639,807,639,,corner,tl,7.2,91,42.2,94
123,keif-aldiafa-team-hospitality-staff-three-uniforms-banner.webp,services/safarjia/safarjia-main-bg.webp,572,943,572,943,,none (brand already in image),,,83,42.0,37
124,keif-aldiafa-team-man-holding-golden-incense-burner-entrance.webp,weddings/qahwa-station-male-host-dallah-wedding-hall-ceremony.webp,960,1280,960,1280,,corner,tr,9.4,79,42.1,59
125,keif-aldiafa-team-man-in-traditional-attire-holding-dallah.webp,services/male/souqiya/souqiya-3.webp,720,1280,720,1280,,corner,br,10.8,80,42.2,55
126,keif-aldiafa-team-man-pouring-coffee-from-dallah.webp,services/male/hosts/dagla/dagla-1.webp,960,1280,960,1280,,corner,br,9.4,80,42.6,84
127,keif-aldiafa-team-man-served-incense-mabkhara.webp,weddings/saudi-wedding-qahwa-station-dallah-white-thobe.webp,960,1280,960,1280,,corner,bl,9.4,80,42.5,103
128,keif-aldiafa-team-man-serving-arabic-coffee-cup.webp,weddings/saudi-wedding-male-host-arabic-coffee-luxury-wedding.webp,1280,854,1280,854,,corner,tr,6.6,88,42.2,92
129,keif-aldiafa-team-men-in-traditional-garments-indoor-hall.webp,weddings/arab-wedding-hall-men-section-male-hosts-marble.webp,271,300,271,300,,corner,br,12.5,94,41.7,19
130,keif-aldiafa-team-men-serving-coffee-and-sweets-at-table.webp,events/formal-reception-indoor-event-saudi-hosts-luxury-catering.webp,1280,720,1280,720,,corner,br,6.1,93,42.3,166
131,keif-aldiafa-team-nine-hostesses-rose-wall-womens-services-banner-hires.webp,services/female-services/female-7.webp,768,1091,768,1091,,none (brand already in image),,,84,42.4,88
132,keif-aldiafa-team-nine-qahwajiin-black-embroidered-daglah-banquet-hall-2.webp,weddings/jeddah-wedding-men-section-traditional-uniform-luxury-wedding.webp,1280,960,1280,960,,corner,br,7.0,88,42.0,178
133,keif-aldiafa-team-nine-qahwajiin-white-thobe-black-vest-luxury-hall.webp,weddings/luxury-wedding-men-section-traditional-uniform-wedding-hall.webp,1600,1200,1600,1200,,corner,br,7.1,84,42.2,163
134,keif-aldiafa-team-nine-qahwajiin-white-thobe-black-vest-ornate-hall-2.webp,weddings/luxury-wedding-men-section-traditional-uniform-wedding-hall.webp,1600,1200,1600,1200,,corner,br,7.1,84,42.2,163
135,keif-aldiafa-team-person-offering-tray-of-assorted-sweets-embroidered-garment.webp,distributions/jeddah-vip-dates-dessert-gahwa-gift-tray.webp,768,1024,768,1024,,corner,br,9.4,90,42.5,126
136,keif-aldiafa-team-person-serving-golden-dallah-coffee.webp,weddings/wedding-coffee-male-host-dallah-tray-white-thobe.webp,960,1280,960,1280,,corner,tl,9.4,80,42.5,72
137,keif-aldiafa-team-qahwaji-floral-counter-exhibition-hall-tv-screens.webp,events/ksa-event-arabic-coffee-ceremony-masked-host-exhibition.webp,720,1280,720,1280,,corner,br,10.8,94,42.0,224
138,keif-aldiafa-team-qahwaji-mobile-sadu-table-water-cups-hall.webp,services/artistic/mobile-table/table-3.webp,720,1280,720,1280,,corner,tr,10.8,80,43.4,79
139,keif-aldiafa-team-qahwajiin-black-bisht-lineup-luxury-hall-lowres.webp,weddings/arab-wedding-hall-men-section-male-hosts-marble.webp,271,300,271,300,,corner,br,12.5,94,41.7,19
